Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2011-03-09,197.7394256591797,200.6660099006537,196.7489620488756,198.09348798542825,9041990
2011-03-10,197.95008850097656,198.541683255061,195.61509871940615,196.48007387633515,7470310
2011-03-11,195.97360229492188,198.72091898518912,194.95624931997241,195.58817811420752,6553950
2011-03-14,198.51925659179688,198.90019465882784,194.68734953212916,194.68734953212916,6541440
2011-03-15,195.82125854492188,197.88735408548834,190.92270509806232,194.508108010702,13801000
2011-03-16,195.74057006835938,197.64531516919632,195.2789500380691,196.83860506796725,5805340
2011-03-17,195.53887939453125,200.15509322569733,194.1629916078404,194.52601250940157,16760620
2011-03-18,192.65264892578125,196.85653588709647,192.00728900637085,195.40445213327718,4822120
2011-03-21,193.11428833007812,195.28792789436636,192.3972050153109,194.5260379851728,6159350
2011-03-22,192.8588104248047,194.7770002815289,192.00279390706956,193.5310734167953,4715270
2011-03-23,193.98818969726562,195.57473404379633,192.27168436503044,192.71537352270815,4657350
2011-03-24,196.5517578125,197.09853222374932,194.37363242689645,195.31478961195003,4413810
2011-03-25,203.0279083251953,203.9197728451024,197.19714297108803,197.82458569055095,8901480
2011-03-28,205.8693389892578,207.2362682643655,203.02342293017776,203.02342293017776,10930310
2011-03-29,206.6222381591797,208.29393679136,204.78471687028795,207.05696870549878,10818300
2011-03-30,209.88050842285156,211.8972974737203,206.69847441770617,207.50518456716324,11097420
2011-03-31,210.2703857421875,214.75661064471382,206.61774655318033,210.64236517760813,18931910
2011-04-01,209.1858367919922,211.98693262477195,208.2222625609611,210.91131456042967,4369290
2011-04-04,215.1958465576172,215.57231215587404,209.7460334489585,209.7460334489585,6322270
2011-04-05,214.74319458007812,216.01601080456527,212.26927182114574,215.12414632463964,8412660
2011-04-06,212.9684295654297,214.67597642570246,210.732039114659,214.3174416436895,6469860
2011-04-07,211.0681610107422,213.15217340059786,209.71019041166758,212.8832654876948,6558160
2011-04-08,210.8575439453125,213.77964230841005,210.20319808561254,211.00094966286096,7720170
2011-04-11,205.8065948486328,209.52645839137122,205.13881796615956,208.41946475019603,11208180
2011-04-13,212.3409423828125,213.65857863042618,203.91972612697938,204.31860863985494,9033890
2011-04-15,211.81661987304688,214.4070727039675,210.10458684933687,212.88327933470106,8590930
2011-04-18,207.21835327148438,215.11072848798017,206.5505763605499,213.22391404848022,10353270
2011-04-19,210.4182891845703,211.43116967109478,208.35220775572748,209.74602627982728,7462430
2011-04-20,212.60989379882812,214.13815958379186,210.46313021488965,211.58804095265037,6548070
2011-04-21,216.07876586914062,216.6389850104531,213.51071640156323,213.51071640156323,16205350
2011-04-25,214.31744384765625,218.80366950772734,213.86926852691855,217.1857631649324,6322870
2011-04-26,211.52529907226562,214.93143412288177,209.79086283171208,213.91855355771102,6321850
2011-04-27,210.93374633789062,213.24184688031121,208.51808807768037,212.97295258583705,7147650
2011-04-28,209.54437255859375,212.345468404352,208.84970625973602,211.82111092127252,13384820
2011-04-29,205.7617645263672,209.71916025979465,204.45758638159302,208.401523725289,9312940
2011-05-02,205.27772521972656,207.5679080379907,202.75449617708784,206.6984468910048,7078370
2011-05-03,200.39260864257812,205.77071182834214,199.18701608425812,205.13429693338165,10740280
2011-05-04,202.7052001953125,204.82954663505345,197.89627454144076,201.14105917551328,13210610
2011-05-05,199.03016662597656,203.90182993124787,198.09348189358383,202.20325539790693,9349490
2011-05-06,205.91416931152344,207.95336167603372,199.4380300556789,199.4380300556789,10775730
2011-05-09,204.26487731933594,207.50519007080908,201.53549103936936,206.33993140840028,3898590
2011-05-10,201.35621643066406,204.18868786512894,199.44698510344153,204.18868786512894,6523220
2011-05-11,202.6693878173828,203.37302645713152,199.0795122699451,202.57527481578674,4910850
2011-05-12,200.80047607421875,203.01446326983483,200.33436990745076,201.678895879984,4739430
2011-05-13,201.77301025390625,205.2642998828468,199.51421645214282,200.06546335124227,5823070
2011-05-16,201.95225524902344,203.1219998355697,200.45087901103037,201.2306996172452,6270620
2011-05-17,201.89849853515625,203.82566064617544,200.87218688468283,201.85816439702296,6111940
2011-05-18,203.23403930664062,204.16176539384116,201.0514279400556,202.40491232547913,6935480
2011-05-19,203.8122100830078,204.7264778755694,202.36908502546436,203.51641273462903,7511270
2011-05-20,207.56788635253906,207.9533104922638,202.1628803976477,203.471558110965,11913870
2011-05-23,202.9965362548828,206.05309530594263,201.31587875752632,205.71247767643283,10046400
2011-05-24,202.15396118164062,205.4883866968094,201.5175598788161,202.03743122032395,4502440
2011-05-25,202.10464477539062,203.20266598760827,201.26207307402345,201.6788727952666,4157440
2011-05-26,202.9517059326172,204.099033633133,200.7825390714162,202.127065002698,9949950
2011-05-27,206.48782348632812,207.23626862372933,202.8038217485548,203.01446469949076,5831020
